,final_score,aces,twos,threes,fours,fives,sixes,three_of_a_kind,four_of_a_kind,full_house,sm_straight,lg_straight,chance,yahtzee
0,169,2,4,12,8,10,18,14,0,0,30,0,21,50
1,168,1,0,9,12,20,18,17,14,25,30,0,22,0
2,277,3,4,9,8,20,24,27,29,25,30,40,23,0
3,174,1,6,9,12,20,18,24,0,0,30,0,19,0
4,272,4,2,12,16,15,24,26,21,25,30,40,22,0
5,241,2,6,12,8,15,24,25,0,25,30,40,19,0
6,195,2,8,9,12,15,18,0,0,0,30,40,26,0
7,216,3,4,12,12,20,24,17,0,0,30,40,19,0
8,199,2,4,6,12,20,18,0,0,0,30,40,17,50
9,187,3,4,3,8,10,24,20,0,25,30,40,20,0
10,134,3,6,6,8,20,18,0,0,25,30,0,18,0
11,210,2,6,9,8,15,18,22,19,25,30,40,16,0
12,172,3,6,9,4,20,18,0,0,25,30,40,17,0
13,205,2,6,9,16,0,12,21,28,25,30,40,16,0
14,195,2,6,6,12,20,24,17,0,25,30,0,18,0
15,257,3,6,9,12,15,18,23,18,25,30,40,23,0
16,250,0,2,9,12,10,24,24,0,25,30,40,24,50
17,230,2,8,12,12,15,18,12,0,25,30,40,21,0
18,201,2,4,9,8,15,18,28,0,25,30,40,22,0
19,260,2,4,6,12,15,24,25,13,25,30,40,29,0
20,243,0,2,12,12,15,24,0,27,25,30,40,21,0
21,198,1,6,9,4,20,18,0,27,25,30,40,18,0
22,209,1,2,9,8,15,18,15,26,25,30,40,20,0
23,218,4,2,12,12,15,12,0,26,0,30,40,15,50
24,184,2,4,6,12,15,18,0,9,25,30,40,23,0
25,196,1,4,9,12,10,18,22,0,25,30,40,25,0
26,127,2,6,6,8,15,18,0,0,25,30,0,17,0
27,197,1,8,9,12,20,18,17,0,25,30,0,22,0
28,191,1,4,9,8,20,18,18,0,25,30,40,18,0
29,169,1,2,3,8,10,18,0,26,0,30,0,21,50
30,178,2,4,9,16,20,12,26,0,0,30,0,24,0
31,197,2,10,9,8,10,18,26,0,25,30,40,19,0
32,141,1,2,9,12,20,12,22,14,0,30,0,19,0
33,197,2,2,12,12,15,18,22,17,0,30,40,27,0
34,216,1,4,12,16,25,24,0,10,0,30,40,19,0
35,192,2,8,9,12,15,12,16,0,25,30,40,23,0
36,213,1,8,9,16,20,18,0,14,0,30,40,22,0
37,170,3,6,9,12,10,18,0,0,25,30,40,17,0
38,213,1,4,6,16,20,30,0,28,25,30,0,18,0
39,261,1,6,9,16,15,18,27,18,25,30,40,21,0
40,176,3,6,3,12,15,18,0,7,25,30,40,17,0
41,170,4,2,9,12,20,12,0,18,0,30,40,23,0
42,243,0,6,9,16,15,18,25,0,25,30,40,24,0
43,196,4,6,9,8,15,18,26,19,0,30,40,21,0
44,156,4,6,12,12,15,12,23,0,25,30,0,17,0
45,166,2,8,9,16,15,12,0,14,0,30,40,20,0
46,258,3,10,12,8,15,18,19,23,25,30,40,20,0
47,199,3,6,12,12,10,18,25,0,25,30,40,18,0
48,185,2,4,6,8,15,12,0,27,25,30,40,16,0
49,252,3,6,9,8,25,24,18,9,25,30,40,20,0
50,245,0,4,9,8,10,18,26,0,25,30,40,25,50
51,214,1,2,9,16,15,24,0,0,25,30,40,17,0
52,161,2,4,9,12,15,18,23,0,25,30,0,23,0
53,189,1,6,9,12,20,18,0,0,0,30,40,18,0
54,164,1,6,6,8,10,12,9,0,25,30,40,17,0
55,242,5,4,12,0,20,24,25,0,25,30,40,22,0
56,285,3,4,12,12,15,18,0,23,25,30,40,18,50
57,235,2,6,12,16,15,12,25,22,0,30,40,20,0
58,229,2,4,6,12,15,18,28,28,25,30,40,21,0
59,157,1,2,12,16,15,12,0,11,0,30,40,18,0
60,195,2,8,12,12,15,18,19,0,25,30,0,19,0
61,181,1,6,3,8,15,12,8,14,25,30,40,19,0
62,249,3,6,9,12,20,18,18,0,25,30,0,23,50
63,167,3,4,9,12,15,18,20,0,0,30,40,16,0
64,174,2,4,3,20,15,18,17,23,25,30,0,17,0
65,183,2,2,9,4,15,24,18,18,0,30,40,21,0
66,248,1,8,9,16,20,24,20,0,25,30,40,20,0
